avg_mouse_speed,mouse_path_entropy,click_delay,task_completion_time,idle_time,label
3.433,0.016,0.087,0.475,0.04,0
3.042,0.003,0.058,0.729,0.035,0
2.466,0.059,0.097,0.377,0.041,0
2.006,0.064,0.18,0.459,0.03,0
3.784,0.025,0.12,0.434,0.004,0
3.629,0.006,0.135,0.129,0.008,0
3.867,0.068,0.181,0.782,0.024,0
2.263,0.06,0.025,0.317,0.009,0
2.444,0.047,0.131,0.601,0.043,0
3.789,0.03,0.114,0.386,0.035,0
3.467,0.076,0.055,0.29,0.048,0
2.587,0.044,0.183,0.139,0.038,0
3.069,0.061,0.128,0.389,0.018,0
3.383,0.078,0.125,0.742,0.049,0
3.788,0.019,0.119,0.434,0.043,0
2.122,0.01,0.15,0.291,0.037,0
2.963,0.027,0.105,0.459,0.019,0
2.916,0.048,0.032,0.147,0.038,0
2.916,0.071,0.014,0.724,0.024,0
2.283,0.071,0.135,0.25,0.047,0
2.44,0.009,0.13,0.321,0.009,0
3.781,0.064,0.057,0.776,0.007,0
3.998,0.03,0.12,0.688,0.001,0
3.485,0.021,0.093,0.466,0.011,0
3.569,0.065,0.095,0.104,0.043,0
3.201,0.036,0.165,0.305,0.031,0
2.809,0.062,0.105,0.428,0.022,0
3.131,0.029,0.178,0.51,0.01,0
3.058,0.02,0.096,0.12,0.022,0
2.586,0.08,0.029,0.59,0.014,0
2.857,0.054,0.075,0.595,0.006,0
2.312,0.004,0.187,0.722,0.025,0
2.179,0.08,0.088,0.412,0.027,0
2.941,0.031,0.03,0.344,0.025,0
2.154,0.036,0.033,0.721,0.022,0
3.799,0.005,0.151,0.442,0.044,0
3.941,0.031,0.142,0.743,0.038,0
2.698,0.024,0.072,0.134,0.01,0
3.442,0.026,0.053,0.295,0.016,0
3.025,0.068,0.122,0.189,0.01,0
3.475,0.066,0.166,0.323,0.015,0
2.636,0.029,0.149,0.276,0.005,0
2.362,0.026,0.038,0.275,0.012,0
2.739,0.037,0.019,0.765,0.027,0
2.828,0.04,0.071,0.368,0.022,0
3.735,0.035,0.02,0.592,0.001,0
2.135,0.054,0.084,0.638,0.026,0
2.525,0.003,0.05,0.23,0.047,0
3.003,0.003,0.139,0.704,0.037,0
3.454,0.039,0.033,0.626,0.02,0
2.443,0.005,0.053,0.315,0.049,0
2.271,0.054,0.048,0.614,0.006,0
2.654,0.033,0.011,0.345,0.048,0
2.676,0.019,0.075,0.319,0.033,0
3.946,0.076,0.152,0.771,0.004,0
3.359,0.014,0.024,0.272,0.015,0
2.794,0.078,0.128,0.625,0.034,0
3.125,0.068,0.022,0.797,0.035,0
2.37,0.042,0.108,0.646,0.045,0
2.922,0.04,0.113,0.718,0.015,0
3.477,0.075,0.133,0.779,0.019,0
3.011,0.049,0.046,0.763,0.043,0
3.025,0.068,0.155,0.325,0.031,0
2.694,0.064,0.073,0.717,0.012,0
2.97,0.066,0.118,0.669,0.011,0
2.586,0.04,0.035,0.567,0.015,0
3.407,0.06,0.196,0.599,0.02,0
2.919,0.072,0.056,0.287,0.003,0
2.07,0.072,0.101,0.376,0.006,0
3.051,0.003,0.096,0.182,0.001,0
3.608,0.056,0.175,0.18,0.021,0
3.08,0.011,0.17,0.344,0.007,0
2.381,0.073,0.181,0.505,0.049,0
2.133,0.038,0.126,0.723,0.029,0
3.466,0.062,0.017,0.684,0.035,0
3.172,0.038,0.184,0.695,0.015,0
2.295,0.024,0.104,0.292,0.05,0
2.326,0.039,0.105,0.676,0.024,0
3.938,0.073,0.15,0.248,0.041,0
3.846,0.059,0.15,0.265,0.012,0
2.561,0.065,0.015,0.391,0.027,0
3.888,0.016,0.191,0.246,0.038,0
2.352,0.028,0.057,0.176,0.026,0
2.7,0.053,0.193,0.536,0.038,0
2.374,0.066,0.177,0.313,0.005,0
3.557,0.007,0.181,0.187,0.015,0
2.221,0.004,0.182,0.385,0.045,0
2.994,0.055,0.075,0.531,0.035,0
3.805,0.078,0.026,0.134,0.032,0
2.316,0.076,0.019,0.679,0.019,0
2.77,0.011,0.131,0.403,0.003,0
3.322,0.024,0.038,0.442,0.033,0
3.037,0.071,0.118,0.548,0.038,0
2.365,0.011,0.063,0.195,0.035,0
2.527,0.066,0.112,0.177,0.014,0
3.734,0.047,0.019,0.731,0.006,0
2.556,0.039,0.087,0.796,0.02,0
3.345,0.037,0.134,0.575,0.013,0
3.281,0.031,0.194,0.119,0.013,0
3.353,0.057,0.154,0.23,0.04,0
2.212,0.054,0.156,0.419,0.024,0
2.922,0.024,0.044,0.546,0.024,0
2.927,0.028,0.028,0.654,0.033,0
2.632,0.067,0.111,0.628,0.049,0
3.709,0.072,0.033,0.409,0.049,0
2.704,0.061,0.18,0.792,0.003,0
2.638,0.057,0.038,0.621,0.045,0
3.17,0.012,0.091,0.218,0.05,0
3.317,0.066,0.128,0.304,0.031,0
3.352,0.06,0.042,0.315,0.017,0
2.2,0.017,0.147,0.278,0.022,0
3.195,0.013,0.067,0.267,0.019,0
3.583,0.002,0.034,0.169,0.021,0
2.223,0.03,0.124,0.349,0.039,0
2.181,0.027,0.168,0.153,0.013,0
3.297,0.002,0.107,0.656,0.009,0
2.348,0.077,0.049,0.514,0.038,0
3.811,0.002,0.181,0.406,0.024,0
3.46,0.042,0.097,0.766,0.012,0
2.702,0.046,0.094,0.769,0.008,0
2.615,0.04,0.119,0.645,0.001,0
2.118,0.068,0.151,0.571,0.026,0
3.836,0.026,0.144,0.426,0.013,0
2.82,0.038,0.065,0.402,0.021,0
3.323,0.007,0.062,0.752,0.015,0
2.852,0.027,0.058,0.249,0.029,0
3.468,0.065,0.035,0.373,0.031,0
2.409,0.052,0.08,0.506,0.034,0
3.301,0.015,0.146,0.655,0.037,0
3.624,0.018,0.012,0.496,0.026,0
2.762,0.036,0.136,0.455,0.005,0
2.614,0.043,0.09,0.282,0.022,0
2.251,0.008,0.098,0.691,0.001,0
2.269,0.03,0.03,0.55,0.025,0
3.829,0.066,0.161,0.42,0.047,0
3.841,0.021,0.054,0.322,0.03,0
3.066,0.068,0.094,0.261,0.024,0
3.097,0.067,0.098,0.484,0.008,0
3.5,0.013,0.164,0.165,0.021,0
2.51,0.075,0.058,0.365,0.011,0
2.302,0.034,0.187,0.277,0.017,0
2.317,0.075,0.171,0.721,0.001,0
3.588,0.025,0.19,0.289,0.008,0
2.726,0.057,0.198,0.303,0.039,0
3.065,0.077,0.09,0.346,0.05,0
3.051,0.071,0.062,0.549,0.043,0
3.749,0.079,0.184,0.287,0.031,0
3.903,0.007,0.029,0.512,0.031,0
2.636,0.032,0.112,0.406,0.016,0
2.852,0.039,0.19,0.364,0.016,0
2.36,0.037,0.043,0.198,0.009,0
3.892,0.077,0.073,0.134,0.005,0
2.636,0.024,0.03,0.771,0.006,0
3.55,0.017,0.125,0.606,0.033,0
2.836,0.07,0.162,0.475,0.041,0
3.206,0.049,0.143,0.528,0.045,0
2.609,0.07,0.122,0.659,0.011,0
3.571,0.019,0.136,0.389,0.048,0
3.604,0.018,0.152,0.652,0.046,0
2.603,0.036,0.165,0.383,0.038,0
3.151,0.032,0.041,0.772,0.028,0
3.789,0.072,0.139,0.512,0.034,0
3.488,0.035,0.051,0.523,0.018,0
3.095,0.061,0.183,0.24,0.014,0
3.932,0.033,0.034,0.752,0.02,0
2.937,0.022,0.188,0.784,0.035,0
3.343,0.069,0.115,0.292,0.02,0
3.675,0.016,0.191,0.441,0.028,0
